model_order,regularity_label_readable,dependency,mean,sd,n_corpora,se,ci95
2-gram,100% regular,adjacent,1.0021147395353778,0.0016033429696094119,30,2.927290372907983e-4,5.986981041801102e-4
2-gram,100% regular,nonadjacent,2.005411188652008,0.005260083658708946,30,9.603554914130652e-4,0.00196414751802292
2-gram,80% regular,adjacent,1.7152224807751522,0.052360992165804185,30,0.009559765514187411,0.01955191580145408
2-gram,80% regular,nonadjacent,2.006992402442174,0.0060125303137699565,30,0.0010977328268451398,0.002245115716605806
2-gram,60% regular,adjacent,1.976302486308541,0.015817019659205445,30,0.0028877794866164993,0.005906172205970825
2-gram,60% regular,nonadjacent,2.0053990075281956,0.007110557429759212,30,0.001298204233571692,0.0026551257800429924
3-gram,100% regular,adjacent,1.0081426589546842,0.0035168146660197385,30,6.420795743813359e-4,0.0013132001781326582
3-gram,100% regular,nonadjacent,2.0229654260246175,0.01061396018326419,30,0.0019378351389451546,0.003963317867736976
3-gram,80% regular,adjacent,1.7221928117529894,0.053359907696700674,30,0.00974214170395883,0.019924916990793802
3-gram,80% regular,nonadjacent,2.0224735391689572,0.010337031200575263,30,0.0018872750553965937,0.003859910886154753
3-gram,60% regular,adjacent,1.9851476206669536,0.019400779363478605,30,0.00354208149685265,0.0072443700722128156
3-gram,60% regular,nonadjacent,2.0210861705360132,0.010181515216638525,30,0.001858881851245006,0.003801840263388801
