model_order,regularity_label_readable,dependency_readable,emmean,SE,df,t.ratio,p.value
2-gram,100% regular,Adjacent,0.11310078119034953,0.0011177460221992988,174,101.18647612613304,9.174279311821482e-156
2-gram,80% regular,Adjacent,0.13680351950607186,0.01236878457115595,174,11.060385013503927,7.124491170527804e-22
2-gram,60% regular,Adjacent,0.1537067974489067,0.004241433388411695,174,36.23935197682447,1.0917141352757974e-82
2-gram,100% regular,Non-adjacent,0.25456820467564967,0.003896684979831358,174,65.3294289872688,1.1956316953892367e-123
2-gram,80% regular,Non-adjacent,0.24787750552448906,0.004062630335240212,174,61.014043875550584,8.509857937241302e-119
2-gram,60% regular,Non-adjacent,0.24806090260535854,0.004192679075714842,174,59.165249265605844,1.0564187194555872e-116
3-gram,100% regular,Adjacent,0.3282465318267554,0.0027616740163011956,174,118.85781228676193,9.381091813911152e-168
3-gram,80% regular,Adjacent,0.3697139745030151,0.01608159119558078,174,22.989887630311884,1.2873751384976927e-54
3-gram,60% regular,Adjacent,0.414151162851211,0.006963852621310684,174,59.47155768113637,5.981947887622819e-117
3-gram,100% regular,Non-adjacent,0.6434832182409569,0.009319757645528896,174,69.04505918666936,1.126975414497783e-127
3-gram,80% regular,Non-adjacent,0.6339360692450942,0.011420879186296374,174,55.50676606453714,2.6896609647418913e-112
3-gram,60% regular,Non-adjacent,0.6501733246254551,0.011562167401475096,174,56.23282400689911,4.734778127500168e-113
