model_order,regularity_label,dependency,mean,sd,n_corpora,se,critical_t,ci95
2-그램,100% 규칙,인접,1.002,0.002,30,0,2.0452296421327034,0.001
2-그램,100% 규칙,비인접,2.005,0.005,30,0.001,2.0452296421327034,0.002
2-그램,80% 규칙,인접,1.715,0.052,30,0.01,2.0452296421327034,0.02
2-그램,80% 규칙,비인접,2.007,0.006,30,0.001,2.0452296421327034,0.002
2-그램,60% 규칙,인접,1.976,0.016,30,0.003,2.0452296421327034,0.006
2-그램,60% 규칙,비인접,2.005,0.007,30,0.001,2.0452296421327034,0.003
3-그램,100% 규칙,인접,1.008,0.004,30,0.001,2.0452296421327034,0.001
3-그램,100% 규칙,비인접,2.023,0.011,30,0.002,2.0452296421327034,0.004
3-그램,80% 규칙,인접,1.722,0.053,30,0.01,2.0452296421327034,0.02
3-그램,80% 규칙,비인접,2.022,0.01,30,0.002,2.0452296421327034,0.004
3-그램,60% 규칙,인접,1.985,0.019,30,0.004,2.0452296421327034,0.007
3-그램,60% 규칙,비인접,2.021,0.01,30,0.002,2.0452296421327034,0.004
